"foreign_key","parent_schema","parent_table","parent_column","referenced_schema","referenced_table","referenced_column"
"FK_credito_cliente","creditos","credito","id_cliente","clientes","cliente","id_cliente"
"FK_credito_solicitud","creditos","credito","id_solicitud_credito","creditos","solicitud_credito","id_solicitud_credito"
"FK_credito_prorroga_credito","creditos","credito_prorroga","id_credito","creditos","credito","id_credito"
"FK_credito_reestructuracion_credito","creditos","credito_reestructuracion","id_credito","creditos","credito","id_credito"
"FK_credito_refinanciamiento_credito_nuevo","creditos","credito_refinanciamiento","id_credito_nuevo","creditos","credito","id_credito"
"FK_credito_refinanciamiento_credito_origen","creditos","credito_refinanciamiento","id_credito_origen","creditos","credito","id_credito"
"FK_desembolso_credito_credito","creditos","desembolso_credito","id_credito","creditos","credito","id_credito"
"FK_documento_expediente_expediente","creditos","documento_expediente","id_expediente_credito","creditos","expediente_credito","id_expediente_credito"
"FK_documento_expediente_tipo","creditos","documento_expediente","id_tipo_documento_expediente","parametros","tipo_documento_expediente","id_tipo_documento_expediente"
"FK_expediente_credito_credito","creditos","expediente_credito","id_credito","creditos","credito","id_credito"
"FK_garantia_credito_credito","creditos","garantia_credito","id_credito","creditos","credito","id_credito"
"FK_garantia_credito_tipo","creditos","garantia_credito","id_tipo_garantia","parametros","tipo_garantia","id_tipo_garantia"
"FK_creditos_historial_asignacion_credito","creditos","historial_asignacion_oficial_credito","id_credito","creditos","credito","id_credito"
"FK_creditos_historial_asignacion_usuario_accion","creditos","historial_asignacion_oficial_credito","id_usuario_accion","seguridad","usuario","id_usuario"
"FK_creditos_historial_asignacion_usuario_anterior","creditos","historial_asignacion_oficial_credito","id_usuario_oficial_anterior","seguridad","usuario","id_usuario"
"FK_creditos_historial_asignacion_usuario_nuevo","creditos","historial_asignacion_oficial_credito","id_usuario_oficial_nuevo","seguridad","usuario","id_usuario"
"FK_pago_credito_credito","creditos","pago_credito","id_credito","creditos","credito","id_credito"
"FK_persona_vinculada_credito_credito","creditos","persona_vinculada_credito","id_credito","creditos","credito","id_credito"
"FK_plan_pago_credito_credito","creditos","plan_pago_credito","id_credito","creditos","credito","id_credito"
"FK_recibo_pago_credito_pago","creditos","recibo_pago_credito","id_pago_credito","creditos","pago_credito","id_pago_credito"
"FK_solicitud_credito_cliente","creditos","solicitud_credito","id_cliente","clientes","cliente","id_cliente"
"FK_creditos_tasa_variable_credito","creditos","tasa_variable_credito","id_credito","creditos","credito","id_credito"
"FK_alerta_cumplimiento_matriz","cumplimiento","alerta_cumplimiento","id_matriz_alerta_temprana","cumplimiento","matriz_alerta_temprana","id_matriz_alerta_temprana"
"FK_alerta_cumplimiento_persona","cumplimiento","alerta_cumplimiento","id_persona_pla","cumplimiento","persona_pla","id_persona_pla"
"FK_alerta_cliente","cumplimiento","alerta_cumplimiento_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_alerta_expediente","cumplimiento","alerta_cumplimiento_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_bdd_cliente","cumplimiento","bitacora_debida_diligencia_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_bdd_expediente","cumplimiento","bitacora_debida_diligencia_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_caso_cumplimiento_alerta","cumplimiento","caso_cumplimiento","id_alerta_cumplimiento","cumplimiento","alerta_cumplimiento","id_alerta_cumplimiento"
"FK_caso_cumplimiento_persona","cumplimiento","caso_cumplimiento","id_persona_pla","cumplimiento","persona_pla","id_persona_pla"
"FK_coincidencia_lista_lista","cumplimiento","coincidencia_lista","id_lista_restrictiva","cumplimiento","lista_restrictiva","id_lista_restrictiva"
"FK_coincidencia_lista_persona","cumplimiento","coincidencia_lista","id_persona_pla","cumplimiento","persona_pla","id_persona_pla"
"FK_coincidencia_cliente","cumplimiento","coincidencia_lista_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_coincidencia_expediente","cumplimiento","coincidencia_lista_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_coincidencia_lista","cumplimiento","coincidencia_lista_cliente","id_lista_control","cumplimiento","lista_control_cumplimiento","id_lista_control"
"FK_beneficiario_cliente","cumplimiento","declaracion_beneficiario_final_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_beneficiario_expediente","cumplimiento","declaracion_beneficiario_final_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_origen_cliente","cumplimiento","declaracion_origen_fondos_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_origen_expediente","cumplimiento","declaracion_origen_fondos_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_doc_exp_expediente","cumplimiento","documento_expediente_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_documento_pla_expediente","cumplimiento","documento_pla","id_expediente_pla","cumplimiento","expediente_pla","id_expediente_pla"
"FK_kyc_expediente","cumplimiento","evaluacion_kyc_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_expediente_pla_persona","cumplimiento","expediente_pla","id_persona_pla","cumplimiento","persona_pla","id_persona_pla"
"FK_exp_cliente","cumplimiento","expediente_regulatorio_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_perfil_transaccional_persona","cumplimiento","perfil_transaccional","id_persona_pla","cumplimiento","persona_pla","id_persona_pla"
"FK_reporte_cliente","cumplimiento","reporte_operacion_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_reporte_expediente","cumplimiento","reporte_operacion_cliente","id_expediente_regulatorio","cumplimiento","expediente_regulatorio_cliente","id_expediente_regulatorio"
"FK_seguimiento_caso_cumplimiento","cumplimiento","seguimiento_caso_cumplimiento","id_caso_cumplimiento","cumplimiento","caso_cumplimiento","id_caso_cumplimiento"
"FK_cxc_anticipo_cliente_asiento","cxc","anticipo_cliente","id_asiento","contabilidad","asiento","id_asiento"
"FK_cxc_anticipo_cliente_cliente","cxc","anticipo_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_cxc_anticipo_cliente_cuenta","cxc","anticipo_cliente","codigo_cuenta_anticipo","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_cxc_anticipo_cliente_cuenta_bancaria","cxc","anticipo_cliente","id_cuenta_bancaria","bancos","cuenta_bancaria","id_cuenta_bancaria"
"FK_cxc_anticipo_cliente_empresa","cxc","anticipo_cliente","id_empresa","empresa","empresa","id_empresa"
"FK_cxc_anticipo_cliente_moneda","cxc","anticipo_cliente","id_moneda","administracion","moneda","id_moneda"
"FK_cxc_anticipo_cliente_mov_banco","cxc","anticipo_cliente","id_movimiento_bancario","bancos","movimiento_bancario","id_movimiento_bancario"
"FK_cxc_anticipo_cliente_mov_caja","cxc","anticipo_cliente","id_movimiento_caja","caja","movimiento_caja","id_movimiento_caja"
"FK_cxc_anticipo_cliente_sesion_caja","cxc","anticipo_cliente","id_sesion_caja","caja","sesion_caja","id_sesion_caja"
"FK_cxc_anticipo_cliente_sucursal","cxc","anticipo_cliente","id_sucursal","empresa","sucursal","id_sucursal"
"FK_cxc_aplicacion_anticipo_cliente_anticipo","cxc","aplicacion_anticipo_cliente","id_anticipo_cliente","cxc","anticipo_cliente","id_anticipo_cliente"
"FK_cxc_aplicacion_anticipo_cliente_asiento","cxc","aplicacion_anticipo_cliente","id_asiento","contabilidad","asiento","id_asiento"
"FK_cxc_aplicacion_anticipo_cliente_documento","cxc","aplicacion_anticipo_cliente","id_documento_cobrar","cxc","documento_cobrar","id_documento_cobrar"
"FK_cxc_cobro_cliente_asiento","cxc","cobro_cliente","id_asiento","contabilidad","asiento","id_asiento"
"FK_cxc_cobro_cliente_cliente","cxc","cobro_cliente","id_cliente","clientes","cliente","id_cliente"
"FK_cxc_cobro_cliente_cuenta_bancaria","cxc","cobro_cliente","id_cuenta_bancaria","bancos","cuenta_bancaria","id_cuenta_bancaria"
"FK_cxc_cobro_cliente_empresa","cxc","cobro_cliente","id_empresa","empresa","empresa","id_empresa"
"FK_cxc_cobro_cliente_moneda","cxc","cobro_cliente","id_moneda","administracion","moneda","id_moneda"
"FK_cxc_cobro_cliente_mov_banco","cxc","cobro_cliente","id_movimiento_bancario","bancos","movimiento_bancario","id_movimiento_bancario"
"FK_cxc_cobro_cliente_mov_caja","cxc","cobro_cliente","id_movimiento_caja","caja","movimiento_caja","id_movimiento_caja"
"FK_cxc_cobro_cliente_sesion_caja","cxc","cobro_cliente","id_sesion_caja","caja","sesion_caja","id_sesion_caja"
"FK_cxc_cobro_cliente_sucursal","cxc","cobro_cliente","id_sucursal","empresa","sucursal","id_sucursal"
"FK_cxc_cobro_cliente_detalle_cobro","cxc","cobro_cliente_detalle","id_cobro_cliente","cxc","cobro_cliente","id_cobro_cliente"
"FK_cxc_cobro_cliente_detalle_documento","cxc","cobro_cliente_detalle","id_documento_cobrar","cxc","documento_cobrar","id_documento_cobrar"
"FK_cxc_documento_cobrar_asiento","cxc","documento_cobrar","id_asiento_origen","contabilidad","asiento","id_asiento"
"FK_cxc_documento_cobrar_cliente","cxc","documento_cobrar","id_cliente","clientes","cliente","id_cliente"
"FK_cxc_documento_cobrar_cuenta","cxc","documento_cobrar","codigo_cuenta_cobrar","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_cxc_documento_cobrar_empresa","cxc","documento_cobrar","id_empresa","empresa","empresa","id_empresa"
"FK_cxc_documento_cobrar_moneda","cxc","documento_cobrar","id_moneda","administracion","moneda","id_moneda"
"FK_cxc_documento_cobrar_sucursal","cxc","documento_cobrar","id_sucursal","empresa","sucursal","id_sucursal"
"FK_cxc_movimiento_documento_cobrar_asiento","cxc","movimiento_documento_cobrar","id_asiento","contabilidad","asiento","id_asiento"
"FK_cxc_movimiento_documento_cobrar_documento","cxc","movimiento_documento_cobrar","id_documento_cobrar","cxc","documento_cobrar","id_documento_cobrar"
"FK_anticipo_proveedor_asiento","cxp","anticipo_proveedor","id_asiento","contabilidad","asiento","id_asiento"
"FK_anticipo_proveedor_cuenta","cxp","anticipo_proveedor","codigo_cuenta_anticipo","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_anticipo_proveedor_cuenta_bancaria","cxp","anticipo_proveedor","id_cuenta_bancaria","bancos","cuenta_bancaria","id_cuenta_bancaria"
"FK_anticipo_proveedor_empresa","cxp","anticipo_proveedor","id_empresa","empresa","empresa","id_empresa"
"FK_anticipo_proveedor_moneda","cxp","anticipo_proveedor","id_moneda","administracion","moneda","id_moneda"
"FK_anticipo_proveedor_movimiento_bancario","cxp","anticipo_proveedor","id_movimiento_bancario","bancos","movimiento_bancario","id_movimiento_bancario"
"FK_anticipo_proveedor_proveedor","cxp","anticipo_proveedor","id_proveedor","proveedores","proveedor","id_proveedor"
"FK_anticipo_proveedor_secuencia","cxp","anticipo_proveedor","id_secuencia_documento","administracion","secuencia_documento","id_secuencia_documento"
"FK_anticipo_proveedor_sucursal","cxp","anticipo_proveedor","id_sucursal","empresa","sucursal","id_sucursal"
"FK_aplicacion_anticipo_proveedor_anticipo","cxp","aplicacion_anticipo_proveedor","id_anticipo_proveedor","cxp","anticipo_proveedor","id_anticipo_proveedor"
"FK_aplicacion_anticipo_proveedor_asiento","cxp","aplicacion_anticipo_proveedor","id_asiento","contabilidad","asiento","id_asiento"
"FK_aplicacion_anticipo_proveedor_documento","cxp","aplicacion_anticipo_proveedor","id_documento_pagar","cxp","documento_pagar","id_documento_pagar"
"FK_aplicacion_anticipo_proveedor_empresa","cxp","aplicacion_anticipo_proveedor","id_empresa","empresa","empresa","id_empresa"
"FK_aplicacion_anticipo_proveedor_proveedor","cxp","aplicacion_anticipo_proveedor","id_proveedor","proveedores","proveedor","id_proveedor"
"FK_aplicacion_anticipo_proveedor_sucursal","cxp","aplicacion_anticipo_proveedor","id_sucursal","empresa","sucursal","id_sucursal"
"FK_documento_pagar_asiento","cxp","documento_pagar","id_asiento_origen","contabilidad","asiento","id_asiento"
"FK_documento_pagar_cuenta","cxp","documento_pagar","codigo_cuenta_por_pagar","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_documento_pagar_empresa","cxp","documento_pagar","id_empresa","empresa","empresa","id_empresa"
"FK_documento_pagar_moneda","cxp","documento_pagar","id_moneda","administracion","moneda","id_moneda"
"FK_documento_pagar_proveedor","cxp","documento_pagar","id_proveedor","proveedores","proveedor","id_proveedor"
"FK_documento_pagar_sucursal","cxp","documento_pagar","id_sucursal","empresa","sucursal","id_sucursal"
"FK_movimiento_documento_pagar_asiento","cxp","movimiento_documento_pagar","id_asiento","contabilidad","asiento","id_asiento"
